"hyp","evalue","BHcrit","rejected","outcome","var"
"`Other internet`XHigh hyperactivity/inattention (parent)",8.17967188256138e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Other internet`"
"DistressXDepressed (adolescent)",7.04462340068273e-13,FALSE,FALSE,"Depressed (adolescent)","Distress"
"AgeXHigh hyperactivity/inattention (parent)",7.03520045613609e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","Age"
"SiblingsXHigh hyperactivity/inattention (parent)",5.89612287013017e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","Siblings"
"TVXHigh hyperactivity/inattention (parent)",5.58352674434005e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","TV"
"SiblingsXDepressed (adolescent)",5.42697766640696e-13,FALSE,FALSE,"Depressed (adolescent)","Siblings"
"ScoreXDepressed (adolescent)",5.14009699321435e-13,FALSE,FALSE,"Depressed (adolescent)","Score"
"`Own computer`XHigh hyperactivity/inattention (parent)",5.12112491238768e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Own computer`"
"`Social media`XHigh hyperactivity/inattention (parent)",4.83702604750441e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Social media`"
"`Electronic games`XDepressed (adolescent)",4.38179423482351e-13,FALSE,FALSE,"Depressed (adolescent)","`Electronic games`"
"EthnicityXDepressed (adolescent)",3.64343890975874e-13,FALSE,FALSE,"Depressed (adolescent)","Ethnicity"
"TimeXLow self-esteem (adolescent)",2.98876024322598e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Time"
"FatherXDepressed (adolescent)",2.37795873085502e-13,FALSE,FALSE,"Depressed (adolescent)","Father"
"FatherXHigh emotional problems (parent)",2.32160364599942e-13,FALSE,FALSE,"High emotional problems (parent)","Father"
"`Own computer`XDepressed (adolescent)",2.0215433497158e-13,FALSE,FALSE,"Depressed (adolescent)","`Own computer`"
"TimeXDepressed (adolescent)",1.86419861175693e-13,FALSE,FALSE,"Depressed (adolescent)","Time"
"AgeXDepressed (adolescent)",1.828980400751e-13,FALSE,FALSE,"Depressed (adolescent)","Age"
"TVXLow self-esteem (adolescent)",1.64238151690594e-13,FALSE,FALSE,"Low self-esteem (adolescent)","TV"
"EmployedXDepressed (adolescent)",1.59760625092373e-13,FALSE,FALSE,"Depressed (adolescent)","Employed"
"TVXDepressed (adolescent)",1.38546131328866e-13,FALSE,FALSE,"Depressed (adolescent)","TV"
"IncomeXDepressed (adolescent)",1.3224665633192e-13,FALSE,FALSE,"Depressed (adolescent)","Income"
"`Social media`XHigh emotional problems (parent)",1.13823423017237e-13,FALSE,FALSE,"High emotional problems (parent)","`Social media`"
"`Own computer`XLow self-esteem (adolescent)",1.13681469313288e-13,FALSE,FALSE,"Low self-esteem (adolescent)","`Own computer`"
"ScoreXLow self-esteem (adolescent)",1.11185243218984e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Score"
"`Electronic games`XLow self-esteem (adolescent)",1.0388170907125e-13,FALSE,FALSE,"Low self-esteem (adolescent)","`Electronic games`"
"SiblingsXHigh emotional problems (parent)",9.06072636486523e-14,FALSE,FALSE,"High emotional problems (parent)","Siblings"
"BMIXHigh emotional problems (parent)",8.88054734244299e-14,FALSE,FALSE,"High emotional problems (parent)","BMI"
"`Electronic games`XHigh emotional problems (parent)",8.36934216803222e-14,FALSE,FALSE,"High emotional problems (parent)","`Electronic games`"
"FatherXLow self-esteem (adolescent)",8.23639535061659e-14,FALSE,FALSE,"Low self-esteem (adolescent)","Father"
"EmployedXLow self-esteem (adolescent)",7.81060736577638e-14,FALSE,FALSE,"Low self-esteem (adolescent)","Employed"
"IncomeXLow self-esteem (adolescent)",7.75488506969997e-14,FALSE,FALSE,"Low self-esteem (adolescent)","Income"
"EthnicityXLow self-esteem (adolescent)",7.53376149011045e-14,FALSE,FALSE,"Low self-esteem (adolescent)","Ethnicity"
"TimeXHigh emotional problems (parent)",7.00509947126913e-14,FALSE,FALSE,"High emotional problems (parent)","Time"
"SiblingsXLow self-esteem (adolescent)",6.84863435409821e-14,FALSE,FALSE,"Low self-esteem (adolescent)","Siblings"
"DistressXLow self-esteem (adolescent)",6.78671055552932e-14,FALSE,FALSE,"Low self-esteem (adolescent)","Distress"
"AgeXLow self-esteem (adolescent)",6.76699994940013e-14,FALSE,FALSE,"Low self-esteem (adolescent)","Age"
"IncomeXHigh emotional problems (parent)",6.69002705120299e-14,FALSE,FALSE,"High emotional problems (parent)","Income"
"EmployedXHigh emotional problems (parent)",4.5681736570823e-14,FALSE,FALSE,"High emotional problems (parent)","Employed"
"AgeXHigh emotional problems (parent)",3.95465128218022e-14,FALSE,FALSE,"High emotional problems (parent)","Age"
"`Other internet`XHigh emotional problems (parent)",3.88582238513445e-14,FALSE,FALSE,"High emotional problems (parent)","`Other internet`"
"EthnicityXHigh emotional problems (parent)",3.04589938095299e-14,FALSE,FALSE,"High emotional problems (parent)","Ethnicity"
"`Own computer`XHigh emotional problems (parent)",2.98408648678059e-14,FALSE,FALSE,"High emotional problems (parent)","`Own computer`"
"DistressXHigh conduct problems (parent)",2.9333161580212e-14,FALSE,FALSE,"High conduct problems (parent)","Distress"
"TVXHigh emotional problems (parent)",2.82154498599432e-14,FALSE,FALSE,"High emotional problems (parent)","TV"
"`Social media`XHigh total difficulties (parent)",1.17365630826313e-14,FALSE,FALSE,"High total difficulties (parent)","`Social media`"
"TimeXHigh total difficulties (parent)",2.19612880259341e-15,FALSE,FALSE,"High total difficulties (parent)","Time"
"TVXHigh total difficulties (parent)",2.11955087979799e-15,FALSE,FALSE,"High total difficulties (parent)","TV"
"`Electronic games`XHigh total difficulties (parent)",1.83787484059439e-15,FALSE,FALSE,"High total difficulties (parent)","`Electronic games`"
"SiblingsXLow pro-sociality (parent)",1.27595998217625e-15,FALSE,FALSE,"Low pro-sociality (parent)","Siblings"
"MaleXHigh total difficulties (parent)",7.82594050587598e-16,FALSE,FALSE,"High total difficulties (parent)","Male"
"EmployedXHigh total difficulties (parent)",7.01652892067651e-16,FALSE,FALSE,"High total difficulties (parent)","Employed"
"MotivationXLow pro-sociality (parent)",6.73164333839921e-16,FALSE,FALSE,"Low pro-sociality (parent)","Motivation"
"ScoreXHigh conduct problems (parent)",6.68375860979042e-16,FALSE,FALSE,"High conduct problems (parent)","Score"
"DistressXLow pro-sociality (parent)",6.11226903817958e-16,FALSE,FALSE,"Low pro-sociality (parent)","Distress"
"`Other internet`XHigh total difficulties (parent)",5.74881166418201e-16,FALSE,FALSE,"High total difficulties (parent)","`Other internet`"
"EthnicityXHigh total difficulties (parent)",5.25408021266014e-16,FALSE,FALSE,"High total difficulties (parent)","Ethnicity"
"`Own computer`XHigh total difficulties (parent)",5.2024840659419e-16,FALSE,FALSE,"High total difficulties (parent)","`Own computer`"
"AgeXHigh total difficulties (parent)",4.29556421068457e-16,FALSE,FALSE,"High total difficulties (parent)","Age"
"`Electronic games`XLow pro-sociality (parent)",3.95113316867207e-16,FALSE,FALSE,"Low pro-sociality (parent)","`Electronic games`"
"FatherXHigh total difficulties (parent)",3.89913114943124e-16,FALSE,FALSE,"High total difficulties (parent)","Father"
"SiblingsXHigh total difficulties (parent)",3.73010206926137e-16,FALSE,FALSE,"High total difficulties (parent)","Siblings"
"IllnessXHigh conduct problems (parent)",2.1515412501452e-16,FALSE,FALSE,"High conduct problems (parent)","Illness"
"MaleXLow pro-sociality (parent)",1.24066914625805e-16,FALSE,FALSE,"Low pro-sociality (parent)","Male"
"TVXLow pro-sociality (parent)",6.55099475828498e-17,FALSE,FALSE,"Low pro-sociality (parent)","TV"
"`Social media`XLow pro-sociality (parent)",2.65021353545893e-17,FALSE,FALSE,"Low pro-sociality (parent)","`Social media`"
"IllnessXLow pro-sociality (parent)",2.63285961734329e-17,FALSE,FALSE,"Low pro-sociality (parent)","Illness"
"FatherXLow pro-sociality (parent)",1.50593866825661e-17,FALSE,FALSE,"Low pro-sociality (parent)","Father"
"ScoreXLow pro-sociality (parent)",1.23033256151978e-17,FALSE,FALSE,"Low pro-sociality (parent)","Score"
"EmployedXLow pro-sociality (parent)",1.14727403983924e-17,FALSE,FALSE,"Low pro-sociality (parent)","Employed"
"BMIXLow pro-sociality (parent)",9.33758366327559e-18,FALSE,FALSE,"Low pro-sociality (parent)","BMI"
"IncomeXLow pro-sociality (parent)",8.81716002964835e-18,FALSE,FALSE,"Low pro-sociality (parent)","Income"
"TimeXLow pro-sociality (parent)",8.41611630018898e-18,FALSE,FALSE,"Low pro-sociality (parent)","Time"
"EthnicityXLow pro-sociality (parent)",7.92812763885381e-18,FALSE,FALSE,"Low pro-sociality (parent)","Ethnicity"
"`Own computer`XLow pro-sociality (parent)",7.05624120806604e-18,FALSE,FALSE,"Low pro-sociality (parent)","`Own computer`"
"`Other internet`XLow pro-sociality (parent)",6.70390930459952e-18,FALSE,FALSE,"Low pro-sociality (parent)","`Other internet`"
"AgeXLow pro-sociality (parent)",6.66065180227247e-18,FALSE,FALSE,"Low pro-sociality (parent)","Age"
"MaleXHigh conduct problems (parent)",5.70690834344068e-19,FALSE,FALSE,"High conduct problems (parent)","Male"
"MotivationXHigh conduct problems (parent)",2.60865980151268e-19,FALSE,FALSE,"High conduct problems (parent)","Motivation"
"BMIXHigh conduct problems (parent)",1.35349938713825e-20,FALSE,FALSE,"High conduct problems (parent)","BMI"
"AgeXHigh conduct problems (parent)",8.19832061282414e-21,FALSE,FALSE,"High conduct problems (parent)","Age"
"TimeXHigh conduct problems (parent)",3.04894677802031e-21,FALSE,FALSE,"High conduct problems (parent)","Time"
"IncomeXHigh conduct problems (parent)",2.0762789615165e-21,FALSE,FALSE,"High conduct problems (parent)","Income"
"`Own computer`XHigh conduct problems (parent)",2.43161842136523e-22,FALSE,FALSE,"High conduct problems (parent)","`Own computer`"
"FatherXHigh conduct problems (parent)",1.14323872234315e-22,FALSE,FALSE,"High conduct problems (parent)","Father"
"`Electronic games`XHigh conduct problems (parent)",1.11281099109321e-22,FALSE,FALSE,"High conduct problems (parent)","`Electronic games`"
"`Other internet`XHigh conduct problems (parent)",9.80835562141023e-23,FALSE,FALSE,"High conduct problems (parent)","`Other internet`"
"EthnicityXHigh conduct problems (parent)",9.34955454602696e-23,FALSE,FALSE,"High conduct problems (parent)","Ethnicity"
"SiblingsXHigh conduct problems (parent)",8.81215353978628e-23,FALSE,FALSE,"High conduct problems (parent)","Siblings"
"TVXHigh conduct problems (parent)",7.43941830535235e-23,FALSE,FALSE,"High conduct problems (parent)","TV"
"EmployedXHigh conduct problems (parent)",5.76605875323927e-23,FALSE,FALSE,"High conduct problems (parent)","Employed"
"`Social media`XHigh conduct problems (parent)",5.07917808041892e-23,FALSE,FALSE,"High conduct problems (parent)","`Social media`"
