"hyp","evalue","BHcrit","rejected","outcome","var"
"MaleXLow pro-sociality (parent)",1.81174623108964e-48,FALSE,FALSE,"Low pro-sociality (parent)","Male"
"MotivationXLow pro-sociality (parent)",1.04023106450455e-48,FALSE,FALSE,"Low pro-sociality (parent)","Motivation"
"ClosenessXHigh peer problems (parent)",9.77260063532314e-49,FALSE,FALSE,"High peer problems (parent)","Closeness"
"MotivationXHigh peer problems (parent)",3.87573914499403e-49,FALSE,FALSE,"High peer problems (parent)","Motivation"
"IncomeXHigh peer problems (parent)",3.4400482005838e-49,FALSE,FALSE,"High peer problems (parent)","Income"
"`Other internet`XHigh peer problems (parent)",1.12390363792674e-49,FALSE,FALSE,"High peer problems (parent)","`Other internet`"
"ScoreXHigh emotional problems (parent)",1.0023029152789e-49,FALSE,FALSE,"High emotional problems (parent)","Score"
"`Social media`XHigh peer problems (parent)",7.45410367106449e-50,FALSE,FALSE,"High peer problems (parent)","`Social media`"
"DistressXLow pro-sociality (parent)",7.1854460454833e-50,FALSE,FALSE,"Low pro-sociality (parent)","Distress"
"IllnessXDepressed (adolescent)",6.92570150154836e-50,FALSE,FALSE,"Depressed (adolescent)","Illness"
"`Electronic games`XHigh peer problems (parent)",4.46467340538969e-50,FALSE,FALSE,"High peer problems (parent)","`Electronic games`"
"IllnessXLow pro-sociality (parent)",3.42873685431939e-50,FALSE,FALSE,"Low pro-sociality (parent)","Illness"
"IncomeXHigh conduct problems (parent)",2.94418732631803e-50,FALSE,FALSE,"High conduct problems (parent)","Income"
"IncomeXHigh hyperactivity/inattention (parent)",2.81205409900271e-50,FALSE,FALSE,"High hyperactivity/inattention (parent)","Income"
"BMIXDepressed (adolescent)",2.76010758083571e-50,FALSE,FALSE,"Depressed (adolescent)","BMI"
"`Social media`XDepressed (adolescent)",2.56143968053024e-50,FALSE,FALSE,"Depressed (adolescent)","`Social media`"
"ScoreXHigh hyperactivity/inattention (parent)",1.93836270654257e-50,FALSE,FALSE,"High hyperactivity/inattention (parent)","Score"
"BMIXHigh conduct problems (parent)",1.77606986242405e-50,FALSE,FALSE,"High conduct problems (parent)","BMI"
"`Electronic games`XHigh total difficulties (parent)",1.49757827252314e-50,FALSE,FALSE,"High total difficulties (parent)","`Electronic games`"
"`Electronic games`XLow pro-sociality (parent)",1.28154497883131e-50,FALSE,FALSE,"Low pro-sociality (parent)","`Electronic games`"
"`Other internet`XDepressed (adolescent)",5.79451189584594e-51,FALSE,FALSE,"Depressed (adolescent)","`Other internet`"
"SiblingsXLow pro-sociality (parent)",4.96788343250772e-51,FALSE,FALSE,"Low pro-sociality (parent)","Siblings"
"IncomeXHigh total difficulties (parent)",2.78396070734167e-51,FALSE,FALSE,"High total difficulties (parent)","Income"
"SiblingsXHigh peer problems (parent)",2.74953714805406e-51,FALSE,FALSE,"High peer problems (parent)","Siblings"
"`Social media`XHigh total difficulties (parent)",1.82155622830322e-51,FALSE,FALSE,"High total difficulties (parent)","`Social media`"
"TimeXHigh hyperactivity/inattention (parent)",2.09019557459765e-52,FALSE,FALSE,"High hyperactivity/inattention (parent)","Time"
"`Electronic games`XHigh conduct problems (parent)",1.23902742421781e-52,FALSE,FALSE,"High conduct problems (parent)","`Electronic games`"
"`Own computer`XLow pro-sociality (parent)",1.14177519133123e-52,FALSE,FALSE,"Low pro-sociality (parent)","`Own computer`"
"MaleXHigh conduct problems (parent)",1.11815798528399e-52,FALSE,FALSE,"High conduct problems (parent)","Male"
"EmployedXHigh peer problems (parent)",9.87208535809845e-53,FALSE,FALSE,"High peer problems (parent)","Employed"
"`Social media`XLow pro-sociality (parent)",7.72008004389336e-53,FALSE,FALSE,"Low pro-sociality (parent)","`Social media`"
"EthnicityXHigh conduct problems (parent)",6.42831063165847e-53,FALSE,FALSE,"High conduct problems (parent)","Ethnicity"
"EthnicityXHigh hyperactivity/inattention (parent)",5.843809496667e-53,FALSE,FALSE,"High hyperactivity/inattention (parent)","Ethnicity"
"IncomeXLow pro-sociality (parent)",5.12774033088523e-53,FALSE,FALSE,"Low pro-sociality (parent)","Income"
"`Own computer`XHigh conduct problems (parent)",4.96942655490042e-53,FALSE,FALSE,"High conduct problems (parent)","`Own computer`"
"ClosenessXHigh emotional problems (parent)",4.76578699078075e-53,FALSE,FALSE,"High emotional problems (parent)","Closeness"
"TimeXHigh total difficulties (parent)",4.69272474424559e-53,FALSE,FALSE,"High total difficulties (parent)","Time"
"AgeXHigh conduct problems (parent)",4.48879044096807e-53,FALSE,FALSE,"High conduct problems (parent)","Age"
"TimeXHigh peer problems (parent)",4.37780587721022e-53,FALSE,FALSE,"High peer problems (parent)","Time"
"TimeXHigh conduct problems (parent)",4.36811764209686e-53,FALSE,FALSE,"High conduct problems (parent)","Time"
"TimeXLow pro-sociality (parent)",4.00921204849516e-53,FALSE,FALSE,"Low pro-sociality (parent)","Time"
"FatherXHigh total difficulties (parent)",3.26804352561285e-53,FALSE,FALSE,"High total difficulties (parent)","Father"
"EthnicityXLow pro-sociality (parent)",3.10044614603579e-53,FALSE,FALSE,"Low pro-sociality (parent)","Ethnicity"
"AgeXHigh peer problems (parent)",3.04511548426539e-53,FALSE,FALSE,"High peer problems (parent)","Age"
"FatherXHigh conduct problems (parent)",2.90349375763782e-53,FALSE,FALSE,"High conduct problems (parent)","Father"
"`Other internet`XLow pro-sociality (parent)",2.73099568560574e-53,FALSE,FALSE,"Low pro-sociality (parent)","`Other internet`"
"TVXLow pro-sociality (parent)",2.7167516349668e-53,FALSE,FALSE,"Low pro-sociality (parent)","TV"
"BMIXLow pro-sociality (parent)",2.64669666939176e-53,FALSE,FALSE,"Low pro-sociality (parent)","BMI"
"AgeXLow pro-sociality (parent)",2.54706145420829e-53,FALSE,FALSE,"Low pro-sociality (parent)","Age"
"ScoreXLow pro-sociality (parent)",2.47133229590715e-53,FALSE,FALSE,"Low pro-sociality (parent)","Score"
"TVXHigh peer problems (parent)",2.45743869386756e-53,FALSE,FALSE,"High peer problems (parent)","TV"
"FatherXHigh hyperactivity/inattention (parent)",2.37313576497509e-53,FALSE,FALSE,"High hyperactivity/inattention (parent)","Father"
"EmployedXLow pro-sociality (parent)",2.32580770445896e-53,FALSE,FALSE,"Low pro-sociality (parent)","Employed"
"FatherXLow pro-sociality (parent)",2.30612929445703e-53,FALSE,FALSE,"Low pro-sociality (parent)","Father"
"`Other internet`XHigh conduct problems (parent)",2.20962734009835e-53,FALSE,FALSE,"High conduct problems (parent)","`Other internet`"
"TVXHigh conduct problems (parent)",2.12279866459984e-53,FALSE,FALSE,"High conduct problems (parent)","TV"
"TVXHigh hyperactivity/inattention (parent)",2.03071838801988e-53,FALSE,FALSE,"High hyperactivity/inattention (parent)","TV"
"EmployedXHigh total difficulties (parent)",2.00826979030005e-53,FALSE,FALSE,"High total difficulties (parent)","Employed"
"SiblingsXHigh conduct problems (parent)",1.93450929687826e-53,FALSE,FALSE,"High conduct problems (parent)","Siblings"
"SiblingsXHigh hyperactivity/inattention (parent)",1.92806700290265e-53,FALSE,FALSE,"High hyperactivity/inattention (parent)","Siblings"
"MaleXHigh peer problems (parent)",1.86036098577102e-53,FALSE,FALSE,"High peer problems (parent)","Male"
"FatherXHigh peer problems (parent)",1.66111892538862e-53,FALSE,FALSE,"High peer problems (parent)","Father"
"AgeXHigh hyperactivity/inattention (parent)",1.58571767031794e-53,FALSE,FALSE,"High hyperactivity/inattention (parent)","Age"
"`Electronic games`XHigh hyperactivity/inattention (parent)",1.51588500765665e-53,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Electronic games`"
"EthnicityXHigh peer problems (parent)",1.30838643669817e-53,FALSE,FALSE,"High peer problems (parent)","Ethnicity"
"`Social media`XHigh emotional problems (parent)",1.18022196897922e-53,FALSE,FALSE,"High emotional problems (parent)","`Social media`"
"TVXHigh total difficulties (parent)",1.07746359838212e-53,FALSE,FALSE,"High total difficulties (parent)","TV"
"`Other internet`XHigh hyperactivity/inattention (parent)",9.19901870071046e-54,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Other internet`"
"`Own computer`XHigh peer problems (parent)",8.99874456118093e-54,FALSE,FALSE,"High peer problems (parent)","`Own computer`"
"EmployedXHigh conduct problems (parent)",7.77967763062827e-54,FALSE,FALSE,"High conduct problems (parent)","Employed"
"EmployedXHigh hyperactivity/inattention (parent)",6.54342971198937e-54,FALSE,FALSE,"High hyperactivity/inattention (parent)","Employed"
"AgeXHigh total difficulties (parent)",6.35400654108331e-54,FALSE,FALSE,"High total difficulties (parent)","Age"
"SiblingsXHigh total difficulties (parent)",5.67708450917937e-54,FALSE,FALSE,"High total difficulties (parent)","Siblings"
"`Own computer`XHigh hyperactivity/inattention (parent)",5.44093278859954e-54,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Own computer`"
"BMIXHigh emotional problems (parent)",5.25197707442409e-54,FALSE,FALSE,"High emotional problems (parent)","BMI"
"`Social media`XHigh conduct problems (parent)",5.1999129143099e-54,FALSE,FALSE,"High conduct problems (parent)","`Social media`"
"BMIXHigh hyperactivity/inattention (parent)",4.55888638745951e-54,FALSE,FALSE,"High hyperactivity/inattention (parent)","BMI"
"`Social media`XHigh hyperactivity/inattention (parent)",4.26667285195872e-54,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Social media`"
"MaleXHigh total difficulties (parent)",2.79974934960203e-54,FALSE,FALSE,"High total difficulties (parent)","Male"
"`Other internet`XHigh total difficulties (parent)",2.64155109677802e-54,FALSE,FALSE,"High total difficulties (parent)","`Other internet`"
"EthnicityXHigh total difficulties (parent)",2.61841759659385e-54,FALSE,FALSE,"High total difficulties (parent)","Ethnicity"
"`Own computer`XHigh total difficulties (parent)",2.50674150203567e-54,FALSE,FALSE,"High total difficulties (parent)","`Own computer`"
"IncomeXHigh emotional problems (parent)",1.79727218933976e-54,FALSE,FALSE,"High emotional problems (parent)","Income"
"ScoreXDepressed (adolescent)",1.07814606003456e-54,FALSE,FALSE,"Depressed (adolescent)","Score"
"FatherXHigh emotional problems (parent)",8.05624842234918e-55,FALSE,FALSE,"High emotional problems (parent)","Father"
"`Other internet`XLow self-esteem (adolescent)",8.01992077512858e-55,FALSE,FALSE,"Low self-esteem (adolescent)","`Other internet`"
"DistressXDepressed (adolescent)",5.97882156880762e-55,FALSE,FALSE,"Depressed (adolescent)","Distress"
"SiblingsXHigh emotional problems (parent)",5.17801323962937e-55,FALSE,FALSE,"High emotional problems (parent)","Siblings"
"`Electronic games`XHigh emotional problems (parent)",4.97229070994353e-55,FALSE,FALSE,"High emotional problems (parent)","`Electronic games`"
"`Electronic games`XDepressed (adolescent)",4.03160047274082e-55,FALSE,FALSE,"Depressed (adolescent)","`Electronic games`"
"`Own computer`XHigh emotional problems (parent)",2.97755570769482e-55,FALSE,FALSE,"High emotional problems (parent)","`Own computer`"
"BMIXLow self-esteem (adolescent)",2.70406384408982e-55,FALSE,FALSE,"Low self-esteem (adolescent)","BMI"
"EthnicityXDepressed (adolescent)",2.67570344423247e-55,FALSE,FALSE,"Depressed (adolescent)","Ethnicity"
"`Other internet`XHigh emotional problems (parent)",2.59924082411171e-55,FALSE,FALSE,"High emotional problems (parent)","`Other internet`"
"AgeXHigh emotional problems (parent)",2.58586372374635e-55,FALSE,FALSE,"High emotional problems (parent)","Age"
"TimeXHigh emotional problems (parent)",2.55744390867458e-55,FALSE,FALSE,"High emotional problems (parent)","Time"
"SiblingsXDepressed (adolescent)",2.1004280548652e-55,FALSE,FALSE,"Depressed (adolescent)","Siblings"
"TVXHigh emotional problems (parent)",1.97253863935893e-55,FALSE,FALSE,"High emotional problems (parent)","TV"
"EthnicityXHigh emotional problems (parent)",1.86367932460765e-55,FALSE,FALSE,"High emotional problems (parent)","Ethnicity"
"EmployedXHigh emotional problems (parent)",1.64610865684796e-55,FALSE,FALSE,"High emotional problems (parent)","Employed"
"IncomeXDepressed (adolescent)",1.04476596705817e-55,FALSE,FALSE,"Depressed (adolescent)","Income"
"`Own computer`XDepressed (adolescent)",8.46085495310491e-56,FALSE,FALSE,"Depressed (adolescent)","`Own computer`"
"AgeXDepressed (adolescent)",7.83763602724687e-56,FALSE,FALSE,"Depressed (adolescent)","Age"
"TVXDepressed (adolescent)",5.59546784438198e-56,FALSE,FALSE,"Depressed (adolescent)","TV"
"FatherXDepressed (adolescent)",5.04711503187941e-56,FALSE,FALSE,"Depressed (adolescent)","Father"
"TimeXDepressed (adolescent)",4.18474617298377e-56,FALSE,FALSE,"Depressed (adolescent)","Time"
"EmployedXDepressed (adolescent)",4.09927221850886e-56,FALSE,FALSE,"Depressed (adolescent)","Employed"
"IllnessXLow self-esteem (adolescent)",5.64686216782779e-59,FALSE,FALSE,"Low self-esteem (adolescent)","Illness"
"`Social media`XLow self-esteem (adolescent)",2.81396601639616e-60,FALSE,FALSE,"Low self-esteem (adolescent)","`Social media`"
"ScoreXLow self-esteem (adolescent)",1.00248970159409e-62,FALSE,FALSE,"Low self-esteem (adolescent)","Score"
"`Own computer`XLow self-esteem (adolescent)",7.61840685353587e-63,FALSE,FALSE,"Low self-esteem (adolescent)","`Own computer`"
"TimeXLow self-esteem (adolescent)",7.19182005052439e-63,FALSE,FALSE,"Low self-esteem (adolescent)","Time"
"SiblingsXLow self-esteem (adolescent)",6.0919043821597e-63,FALSE,FALSE,"Low self-esteem (adolescent)","Siblings"
"TVXLow self-esteem (adolescent)",4.65534416545304e-63,FALSE,FALSE,"Low self-esteem (adolescent)","TV"
"EmployedXLow self-esteem (adolescent)",4.28429026119334e-63,FALSE,FALSE,"Low self-esteem (adolescent)","Employed"
"AgeXLow self-esteem (adolescent)",3.09610030886107e-63,FALSE,FALSE,"Low self-esteem (adolescent)","Age"
"DistressXLow self-esteem (adolescent)",2.91653789259817e-63,FALSE,FALSE,"Low self-esteem (adolescent)","Distress"
"`Electronic games`XLow self-esteem (adolescent)",2.8998353254252e-63,FALSE,FALSE,"Low self-esteem (adolescent)","`Electronic games`"
"FatherXLow self-esteem (adolescent)",2.88787974945738e-63,FALSE,FALSE,"Low self-esteem (adolescent)","Father"
"EthnicityXLow self-esteem (adolescent)",2.85552648014975e-63,FALSE,FALSE,"Low self-esteem (adolescent)","Ethnicity"
"IncomeXLow self-esteem (adolescent)",2.76159123993986e-63,FALSE,FALSE,"Low self-esteem (adolescent)","Income"
