"hyp","evalue","BHcrit","rejected","outcome","var"
"ClosenessXHigh total difficulties (parent)",2.74620503667414e-07,FALSE,FALSE,"High total difficulties (parent)","Closeness"
"TVXHigh peer problems (parent)",1.2970860001864e-07,FALSE,FALSE,"High peer problems (parent)","TV"
"EmployedXHigh peer problems (parent)",1.14878018366167e-07,FALSE,FALSE,"High peer problems (parent)","Employed"
"AgeXHigh peer problems (parent)",2.5829731939932e-08,FALSE,FALSE,"High peer problems (parent)","Age"
"EthnicityXHigh peer problems (parent)",2.12257128114647e-08,FALSE,FALSE,"High peer problems (parent)","Ethnicity"
"`Own computer`XHigh peer problems (parent)",2.03151882660646e-08,FALSE,FALSE,"High peer problems (parent)","`Own computer`"
"FatherXHigh peer problems (parent)",1.45531888219458e-08,FALSE,FALSE,"High peer problems (parent)","Father"
"MaleXHigh peer problems (parent)",1.41904839920338e-08,FALSE,FALSE,"High peer problems (parent)","Male"
"ClosenessXLow pro-sociality (parent)",3.27164017567017e-09,FALSE,FALSE,"Low pro-sociality (parent)","Closeness"
"`Other internet`XLow self-esteem (adolescent)",1.65832419865607e-09,FALSE,FALSE,"Low self-esteem (adolescent)","`Other internet`"
"IllnessXLow self-esteem (adolescent)",1.01196368943569e-09,FALSE,FALSE,"Low self-esteem (adolescent)","Illness"
"`Social media`XLow self-esteem (adolescent)",1.96473533127312e-10,FALSE,FALSE,"Low self-esteem (adolescent)","`Social media`"
"IllnessXDepressed (adolescent)",9.59461942677784e-11,FALSE,FALSE,"Depressed (adolescent)","Illness"
"`Other internet`XDepressed (adolescent)",7.77892180850272e-11,FALSE,FALSE,"Depressed (adolescent)","`Other internet`"
"`Social media`XDepressed (adolescent)",5.55616313267952e-11,FALSE,FALSE,"Depressed (adolescent)","`Social media`"
"MotivationXHigh emotional problems (parent)",5.33971823297424e-11,FALSE,FALSE,"High emotional problems (parent)","Motivation"
"BMIXDepressed (adolescent)",2.91201870377508e-11,FALSE,FALSE,"Depressed (adolescent)","BMI"
"ClosenessXHigh emotional problems (parent)",1.64023721592957e-11,FALSE,FALSE,"High emotional problems (parent)","Closeness"
"TimeXHigh hyperactivity/inattention (parent)",9.0038490963098e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Time"
"EthnicityXHigh hyperactivity/inattention (parent)",8.05066608760591e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Ethnicity"
"ScoreXHigh hyperactivity/inattention (parent)",6.84676404854063e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Score"
"IncomeXHigh hyperactivity/inattention (parent)",3.80238783999573e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Income"
"ScoreXHigh emotional problems (parent)",2.90351250181791e-12,FALSE,FALSE,"High emotional problems (parent)","Score"
"BMIXHigh total difficulties (parent)",2.89542851029664e-12,FALSE,FALSE,"High total difficulties (parent)","BMI"
"FatherXHigh hyperactivity/inattention (parent)",2.70185719935e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","Father"
"ScoreXHigh total difficulties (parent)",1.85938473160281e-12,FALSE,FALSE,"High total difficulties (parent)","Score"
"IncomeXHigh total difficulties (parent)",1.32594831140891e-12,FALSE,FALSE,"High total difficulties (parent)","Income"
"DistressXDepressed (adolescent)",1.31000580656912e-12,FALSE,FALSE,"Depressed (adolescent)","Distress"
"`Electronic games`XHigh hyperactivity/inattention (parent)",1.07790008921366e-12,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Electronic games`"
"SiblingsXDepressed (adolescent)",1.0091912442651e-12,FALSE,FALSE,"Depressed (adolescent)","Siblings"
"ScoreXDepressed (adolescent)",9.55843417660435e-13,FALSE,FALSE,"Depressed (adolescent)","Score"
"BMIXHigh hyperactivity/inattention (parent)",9.12263867899553e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","BMI"
"EmployedXHigh hyperactivity/inattention (parent)",8.52452239075942e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","Employed"
"`Electronic games`XDepressed (adolescent)",8.14830767284673e-13,FALSE,FALSE,"Depressed (adolescent)","`Electronic games`"
"TimeXLow self-esteem (adolescent)",6.92523229367564e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Time"
"EthnicityXDepressed (adolescent)",6.77527506608974e-13,FALSE,FALSE,"Depressed (adolescent)","Ethnicity"
"`Other internet`XHigh hyperactivity/inattention (parent)",6.08312062292369e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Other internet`"
"AgeXHigh hyperactivity/inattention (parent)",5.2319914044917e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","Age"
"FatherXDepressed (adolescent)",4.42201033045981e-13,FALSE,FALSE,"Depressed (adolescent)","Father"
"SiblingsXHigh hyperactivity/inattention (parent)",4.38487351834332e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","Siblings"
"TVXHigh hyperactivity/inattention (parent)",4.15239965304147e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","TV"
"`Own computer`XHigh hyperactivity/inattention (parent)",3.80851714034264e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Own computer`"
"TVXLow self-esteem (adolescent)",3.8055489881438e-13,FALSE,FALSE,"Low self-esteem (adolescent)","TV"
"`Own computer`XDepressed (adolescent)",3.75922654162355e-13,FALSE,FALSE,"Depressed (adolescent)","`Own computer`"
"`Social media`XHigh hyperactivity/inattention (parent)",3.5972363348613e-13,FALSE,FALSE,"High hyperactivity/inattention (parent)","`Social media`"
"TimeXDepressed (adolescent)",3.46663102780339e-13,FALSE,FALSE,"Depressed (adolescent)","Time"
"AgeXDepressed (adolescent)",3.40113986058178e-13,FALSE,FALSE,"Depressed (adolescent)","Age"
"EmployedXDepressed (adolescent)",2.97088055142645e-13,FALSE,FALSE,"Depressed (adolescent)","Employed"
"`Own computer`XLow self-esteem (adolescent)",2.63410417167194e-13,FALSE,FALSE,"Low self-esteem (adolescent)","`Own computer`"
"TVXDepressed (adolescent)",2.57637954785364e-13,FALSE,FALSE,"Depressed (adolescent)","TV"
"ScoreXLow self-esteem (adolescent)",2.57626431784034e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Score"
"IncomeXDepressed (adolescent)",2.45923561616332e-13,FALSE,FALSE,"Depressed (adolescent)","Income"
"`Electronic games`XLow self-esteem (adolescent)",2.40703471619368e-13,FALSE,FALSE,"Low self-esteem (adolescent)","`Electronic games`"
"FatherXHigh emotional problems (parent)",1.95606470302861e-13,FALSE,FALSE,"High emotional problems (parent)","Father"
"FatherXLow self-esteem (adolescent)",1.90844853463401e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Father"
"EmployedXLow self-esteem (adolescent)",1.80978954351695e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Employed"
"IncomeXLow self-esteem (adolescent)",1.79687817516143e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Income"
"EthnicityXLow self-esteem (adolescent)",1.74564180858645e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Ethnicity"
"SiblingsXLow self-esteem (adolescent)",1.58689155157473e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Siblings"
"DistressXLow self-esteem (adolescent)",1.57254323807022e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Distress"
"AgeXLow self-esteem (adolescent)",1.56797610939527e-13,FALSE,FALSE,"Low self-esteem (adolescent)","Age"
"`Social media`XHigh emotional problems (parent)",9.59018049982708e-14,FALSE,FALSE,"High emotional problems (parent)","`Social media`"
"SiblingsXHigh emotional problems (parent)",7.63410544114815e-14,FALSE,FALSE,"High emotional problems (parent)","Siblings"
"BMIXHigh emotional problems (parent)",7.48229579586539e-14,FALSE,FALSE,"High emotional problems (parent)","BMI"
"`Electronic games`XHigh emotional problems (parent)",7.05158041540258e-14,FALSE,FALSE,"High emotional problems (parent)","`Electronic games`"
"TimeXHigh emotional problems (parent)",5.90213917029544e-14,FALSE,FALSE,"High emotional problems (parent)","Time"
"IncomeXHigh emotional problems (parent)",5.63667523511806e-14,FALSE,FALSE,"High emotional problems (parent)","Income"
"EmployedXHigh emotional problems (parent)",3.84890989610637e-14,FALSE,FALSE,"High emotional problems (parent)","Employed"
"AgeXHigh emotional problems (parent)",3.33198726629734e-14,FALSE,FALSE,"High emotional problems (parent)","Age"
"`Other internet`XHigh emotional problems (parent)",3.27399555169454e-14,FALSE,FALSE,"High emotional problems (parent)","`Other internet`"
"EthnicityXHigh emotional problems (parent)",2.56631931050143e-14,FALSE,FALSE,"High emotional problems (parent)","Ethnicity"
"`Own computer`XHigh emotional problems (parent)",2.51423892171886e-14,FALSE,FALSE,"High emotional problems (parent)","`Own computer`"
"DistressXHigh conduct problems (parent)",2.42993777899281e-14,FALSE,FALSE,"High conduct problems (parent)","Distress"
"TVXHigh emotional problems (parent)",2.37728975168581e-14,FALSE,FALSE,"High emotional problems (parent)","TV"
"`Social media`XHigh total difficulties (parent)",1.04161850178601e-14,FALSE,FALSE,"High total difficulties (parent)","`Social media`"
"TimeXHigh total difficulties (parent)",1.94906155829531e-15,FALSE,FALSE,"High total difficulties (parent)","Time"
"TVXHigh total difficulties (parent)",1.88109874784521e-15,FALSE,FALSE,"High total difficulties (parent)","TV"
"`Electronic games`XHigh total difficulties (parent)",1.63111161628157e-15,FALSE,FALSE,"High total difficulties (parent)","`Electronic games`"
"SiblingsXLow pro-sociality (parent)",7.18361682539143e-16,FALSE,FALSE,"Low pro-sociality (parent)","Siblings"
"MaleXHigh total difficulties (parent)",6.94551238501881e-16,FALSE,FALSE,"High total difficulties (parent)","Male"
"EmployedXHigh total difficulties (parent)",6.22716061817882e-16,FALSE,FALSE,"High total difficulties (parent)","Employed"
"ScoreXHigh conduct problems (parent)",5.53677703891092e-16,FALSE,FALSE,"High conduct problems (parent)","Score"
"`Other internet`XHigh total difficulties (parent)",5.1020631427925e-16,FALSE,FALSE,"High total difficulties (parent)","`Other internet`"
"EthnicityXHigh total difficulties (parent)",4.66298959997378e-16,FALSE,FALSE,"High total difficulties (parent)","Ethnicity"
"`Own computer`XHigh total difficulties (parent)",4.61719808446433e-16,FALSE,FALSE,"High total difficulties (parent)","`Own computer`"
"AgeXHigh total difficulties (parent)",3.81230785022607e-16,FALSE,FALSE,"High total difficulties (parent)","Age"
"MotivationXLow pro-sociality (parent)",3.7898952180131e-16,FALSE,FALSE,"Low pro-sociality (parent)","Motivation"
"FatherXHigh total difficulties (parent)",3.46047400550178e-16,FALSE,FALSE,"High total difficulties (parent)","Father"
"DistressXLow pro-sociality (parent)",3.44118932547531e-16,FALSE,FALSE,"Low pro-sociality (parent)","Distress"
"SiblingsXHigh total difficulties (parent)",3.31046090881817e-16,FALSE,FALSE,"High total difficulties (parent)","Siblings"
"`Electronic games`XLow pro-sociality (parent)",2.22447624583215e-16,FALSE,FALSE,"Low pro-sociality (parent)","`Electronic games`"
"IllnessXHigh conduct problems (parent)",1.782321129106e-16,FALSE,FALSE,"High conduct problems (parent)","Illness"
"MaleXLow pro-sociality (parent)",6.98493046670821e-17,FALSE,FALSE,"Low pro-sociality (parent)","Male"
"TVXLow pro-sociality (parent)",3.68819060362714e-17,FALSE,FALSE,"Low pro-sociality (parent)","TV"
"`Social media`XLow pro-sociality (parent)",1.49206235384685e-17,FALSE,FALSE,"Low pro-sociality (parent)","`Social media`"
"IllnessXLow pro-sociality (parent)",1.4822921494593e-17,FALSE,FALSE,"Low pro-sociality (parent)","Illness"
"FatherXLow pro-sociality (parent)",8.47839000157719e-18,FALSE,FALSE,"Low pro-sociality (parent)","Father"
"ScoreXLow pro-sociality (parent)",6.9267358014521e-18,FALSE,FALSE,"Low pro-sociality (parent)","Score"
"EmployedXLow pro-sociality (parent)",6.45911878981287e-18,FALSE,FALSE,"Low pro-sociality (parent)","Employed"
"BMIXLow pro-sociality (parent)",5.25703188571795e-18,FALSE,FALSE,"Low pro-sociality (parent)","BMI"
"IncomeXLow pro-sociality (parent)",4.96403492475686e-18,FALSE,FALSE,"Low pro-sociality (parent)","Income"
"TimeXLow pro-sociality (parent)",4.73824849548748e-18,FALSE,FALSE,"Low pro-sociality (parent)","Time"
"EthnicityXLow pro-sociality (parent)",4.46351232765026e-18,FALSE,FALSE,"Low pro-sociality (parent)","Ethnicity"
"`Own computer`XLow pro-sociality (parent)",3.97264285513318e-18,FALSE,FALSE,"Low pro-sociality (parent)","`Own computer`"
"`Other internet`XLow pro-sociality (parent)",3.77428103930668e-18,FALSE,FALSE,"Low pro-sociality (parent)","`Other internet`"
"AgeXLow pro-sociality (parent)",3.7499271938976e-18,FALSE,FALSE,"Low pro-sociality (parent)","Age"
"MaleXHigh conduct problems (parent)",4.72756138033571e-19,FALSE,FALSE,"High conduct problems (parent)","Male"
"MotivationXHigh conduct problems (parent)",2.16099481363499e-19,FALSE,FALSE,"High conduct problems (parent)","Motivation"
"BMIXHigh conduct problems (parent)",1.12122905185561e-20,FALSE,FALSE,"High conduct problems (parent)","BMI"
"AgeXHigh conduct problems (parent)",6.79142919078852e-21,FALSE,FALSE,"High conduct problems (parent)","Age"
"TimeXHigh conduct problems (parent)",2.52572534392196e-21,FALSE,FALSE,"High conduct problems (parent)","Time"
"IncomeXHigh conduct problems (parent)",1.71997439639114e-21,FALSE,FALSE,"High conduct problems (parent)","Income"
"`Own computer`XHigh conduct problems (parent)",2.01433502147827e-22,FALSE,FALSE,"High conduct problems (parent)","`Own computer`"
"FatherXHigh conduct problems (parent)",9.47050645813475e-23,FALSE,FALSE,"High conduct problems (parent)","Father"
"`Electronic games`XHigh conduct problems (parent)",9.21844534467079e-23,FALSE,FALSE,"High conduct problems (parent)","`Electronic games`"
"`Other internet`XHigh conduct problems (parent)",8.12517048634104e-23,FALSE,FALSE,"High conduct problems (parent)","`Other internet`"
"EthnicityXHigh conduct problems (parent)",7.74510301114996e-23,FALSE,FALSE,"High conduct problems (parent)","Ethnicity"
"SiblingsXHigh conduct problems (parent)",7.29992392468766e-23,FALSE,FALSE,"High conduct problems (parent)","Siblings"
"TVXHigh conduct problems (parent)",6.16276003678416e-23,FALSE,FALSE,"High conduct problems (parent)","TV"
"EmployedXHigh conduct problems (parent)",4.77656114976714e-23,FALSE,FALSE,"High conduct problems (parent)","Employed"
"`Social media`XHigh conduct problems (parent)",4.20755419428364e-23,FALSE,FALSE,"High conduct problems (parent)","`Social media`"
